stk_cd,per,roe,pbr,ev,bps,sale_amt,bus_pro,cup_nga,cap
003620,18.72,2.7,0.45,4.97,7233,39051,14,338,2024
003650,3.31,13.5,0.41,0.41,246893,4319,456,526,87
003670,,-8.0,2.61,57.63,38391,36999,7,-2313,387
003680,11.18,4.3,0.44,9.64,11720,3325,110,28,310
003690,5.74,9.4,0.51,,18411,52583,4054,3167,974
003720,16.40,11.5,1.71,10.62,2274,1260,91,83,170
003780,7.73,16.6,1.21,7.14,4951,882,82,100,65
003800,4.43,9.7,0.41,2.12,64030,3260,662,659,111
003830,,-0.4,0.23,,532233,1238,-15,-25,66
003850,8.60,10.5,0.90,6.12,9339,10171,705,696,434
003920,2762.63,0.0,1.01,17.87,75487,9528,-98,3,36
003960,3.84,14.3,0.49,4.80,78228,26430,1330,958,458
004000,25.18,1.5,0.39,3.15,92173,16705,504,364,1290
004020,,-0.1,0.17,6.07,142610,232261,1595,88,6672
004060,12.32,2.1,0.24,180.55,1331,1388,-28,54,1012
004080,26.38,4.6,1.18,14.17,12267,1018,63,52,67
004090,12.01,6.9,0.79,12.39,15684,7212,139,129,63
004100,44.12,2.3,0.99,10.03,2741,6200,161,24,184
004140,5.58,13.7,0.73,4.55,3289,8717,390,208,480
004150,53.56,0.4,0.19,2.43,13865,7916,75,16,420
004170,15.93,2.5,0.39,6.43,452779,65704,4770,1866,492
004250,2.35,18.9,0.39,3.08,10925,4583,105,758,184
004270,8.54,4.1,0.34,,3052,746,-18,44,181
004310,,-0.7,1.11,38.80,3173,1757,2,-6,160
004360,3.49,7.8,0.26,4.17,50003,13734,245,855,97
004370,16.67,6.2,0.95,6.20,452565,34387,1631,1576,304
004380,136.36,0.8,1.05,20.25,9512,3044,6,15,105
004410,,-12.0,2.58,50.33,61,586,-22,-30,375
004430,6.15,6.2,0.37,3.35,31505,10702,628,451,120
004440,,-0.8,0.21,11.82,20976,2213,-17,-20,127
004450,10.29,7.4,0.68,6.71,55972,1671,106,80,108
005930,10.95,9.0,0.94,3.02,57930,3008709,327260,344514,7780
006400,18.81,3.1,0.56,9.63,285746,165922,2734,5755,3485
